Phrase,Form,Role,Type,KeyLexemes
раньше,ADV,время,Circum,казаться
раньше,ADV,время,Circum,показаться
даже,PART,усиление,Circum,казаться
даже,PART,усиление,Circum,показаться
вообще,PARENTH,степень,Circum,казаться
вообще,PARENTH,степень,Circum,показаться
бы,PART,сослаг.,Modal,показаться
только,PART,ограничит.,Circum,казаться
только,PART,ограничит.,Circum,показаться
в нескончаемой зелени лесов.,в + Sloc,место,Circum,казаться
в нескончаемой зелени лесов.,в + Sloc,место,Circum,показаться
в длинном халате,в + Sloc,депиктив,Circum,казаться
в длинном халате,в + Sloc,депиктив,Circum,показаться
лишь мнительно,ADV,эмоция,Circum,казаться
лишь мнительно,ADV,эмоция,Circum,показаться
при зареве пожара,при + Sloc,сопутствующая ситуация,Circum,казаться
при зареве пожара,при + Sloc,сопутствующая ситуация,Circum,показаться
опять,ADV,узуальность,Circum,казаться
опять,ADV,узуальность,Circum,показаться
"до"" поттера """,до + Sgen,период времени - конечная точка,Circum,казаться
"до"" поттера """,до + Sgen,период времени - конечная точка,Circum,показаться
тогда,ADV,время,Circum,казаться
тогда,ADV,время,Circum,показаться
всё,PART,длительность,Circum,показаться
как,ADV,степень,Circum,казаться
как,ADV,степень,Circum,показаться
почему,ADV,причина,Circum,казаться
почему,ADV,причина,Circum,показаться
всю жизнь,Sacc,длительность,Circum,казаться
всю жизнь,Sacc,длительность,Circum,показаться
во всяком случае,в + Sloc,дискурс,Circum,казаться
во всяком случае,в + Sloc,дискурс,Circum,показаться
неизменно,ADV,успех,Circum,казаться
неизменно,ADV,успех,Circum,показаться
в начале их любви,в + Sloc,период времени,Circum,казаться
в начале их любви,в + Sloc,период времени,Circum,показаться
от множества картин,от + Sgen,причина,Circum,казаться
от множества картин,от + Sgen,причина,Circum,показаться
"после"" конька-горбунка """,после + Sgen,предшествующая ситуация,Circum,казаться
"после"" конька-горбунка """,после + Sgen,предшествующая ситуация,Circum,показаться
возможно,PARENTH,дискурс,Circum,казаться
возможно,PARENTH,дискурс,Circum,показаться
видно,PARENTH,точность,Circum,казаться
видно,PARENTH,точность,Circum,показаться
не хотелось огорчать якова мироновича,CL,мотивировка,Circum,как
не хотелось огорчать якова мироновича,CL,мотивировка,Circum,мочь
и,PART,,Modal,как
и,PART,,Modal,нож
и,PART,,Modal,отрезать
и,PART,,Modal,словно
и,PART,,Modal,точно
внезапно,ADV,неожиданность,Circum,как
внезапно,ADV,неожиданность,Circum,отрезать
как,ADV,степень,Circum,как
как,ADV,степень,Circum,показать
было,V,прош.,Gram,как
было,V,прош.,Gram,показать
не,PART,отрицание,Modal,капать
тоже,PART,тождество,Modal,капать
непрерывно,ADV,узуальность,Circum,капать
там,ADV,место,Circum,капать
там,ADV,место,Circum,капнуть
потихоньку,,,Circum,капать
потихоньку,,,Circum,капнуть
обычно,ADV,узуальность,Circum,капать
обычно,ADV,узуальность,Circum,капнуть
тёплыми,Ains,депиктив,Circum,капать
тёплыми,Ains,депиктив,Circum,накапать
чуть,ADV,степень,Circum,качаться
чуть,ADV,степень,Circum,качнуться
угрюмо,ADV,оценка,Circum,качаться
угрюмо,ADV,оценка,Circum,качнуться
долго-долго,ADV,длительность,Circum,качаться
долго-долго,ADV,длительность,Circum,качнуться
плавно,ADV,образ действия,Circum,качаться
плавно,ADV,образ действия,Circum,качнуться
всё сильней,ADV,степень,Circum,качаться
всё сильней,ADV,степень,Circum,качнуться
бежит,Vpraes,движение,Control,качаться
бежит,Vpraes,движение,Control,качнуться
за окнами,за + Sins,место,Circum,качаться
за окнами,за + Sins,место,Circum,качнуться
в глазах яконова,в + Sloc,место,Circum,качаться
в глазах яконова,в + Sloc,место,Circum,качнуться
у него,у + Sgen,посессор,Circum,качаться
у него,у + Sgen,посессор,Circum,качнуться
как в качалке,как + Sx,сравнение,Circum,качаться
как в качалке,как + Sx,сравнение,Circum,качнуться
не,PART,отрицание,Modal,качаться
не,PART,отрицание,Modal,качнуться
рядом с ним,ADV,место,Circum,качаться
рядом с ним,ADV,место,Circum,качнуться
на месте,на + Sloc ,образ действия,Circum,качаться
на месте,на + Sloc ,образ действия,Circum,качнуться
каждый новый год,Sacc,частота,Circum,кидаться
каждый новый год,Sacc,частота,Circum,кинуться
нужно,PRAEDIC,необходимость,Control,кидаться
нужно,PRAEDIC,необходимость,Control,кинуться
наконец,PARENTH,дискурс,Circum,кидаться
наконец,PARENTH,дискурс,Circum,кинуться
свирепо,ADV,эмоция,Circum,кидаться
свирепо,ADV,эмоция,Circum,кинуться
сурово,ADV,образ действия,Circum,кидаться
сурово,ADV,образ действия,Circum,кинуться
страстно,ADV,степень,Circum,кидаться
страстно,ADV,степень,Circum,кинуться
направо-налево,ADV,интенсивность,Circum,кланяться
придворными поклонами,Sins,способ,Circum,кланяться
тоже,PART,тождество,Modal,кланяться
продолжает,Vpraes,фазовый,Control,кланяться
ещё,ADV,,Modal,кланяться
не,PART,отрицание,Modal,кланяться
оставалось,Vimpers,,Control,кланяться
сходу,ADV,время наступления,Circum,кланяться
низко,ADV,интенсивность,Circum,кланяться
всё время,Sacc,длительность,Circum,кланяться
не станут,Vfut,достижение цели,Control,кланяться
одновременно,ADV,одновременность,Circum,кланяться
начал бы,V,фазовый,Control,кланяться
потом,ADV,время,Circum,кланяться
не,PART,отрицание,Modal,поклониться
в ста метрах от палатки,в + Sloc,место,Circum,кланяться
в ста метрах от палатки,в + Sloc,место,Circum,поклониться
вышел,V,движение,Control,кланяться
вышел,V,движение,Control,поклониться
всякий раз,Sacc,узуальность,Circum,кланяться
всякий раз,Sacc,узуальность,Circum,поклониться
первая,A,порядок,Circum,кланяться
первая,A,порядок,Circum,поклониться
даже,PART,фокус,Modal,кланяться
даже,PART,фокус,Modal,поклониться
снисходительно,ADV,эмоция,Circum,кланяться
снисходительно,ADV,эмоция,Circum,поклониться
одиннадцать лет,Sacc,длительность,Circum,кланяться
одиннадцать лет,Sacc,длительность,Circum,поклониться
как петрушка,как + Sx,сравнение,Circum,кланяться
как петрушка,как + Sx,сравнение,Circum,поклониться
подчёркнуто-вежливо,ADV,образ действия,Circum,кланяться
подчёркнуто-вежливо,ADV,образ действия,Circum,поклониться
вместе,ADV,комитатив,Circum,кланяться
вместе,ADV,комитатив,Circum,поклониться
выходил,V,,Control,кланяться
выходил,V,,Control,поклониться
не переставая,Vger,узуальность,Control,кланяться
не переставая,Vger,узуальность,Control,поклониться
несколько раз,Sacc,узуальность,Circum,кланяться
несколько раз,Sacc,узуальность,Circum,поклониться
заставляли,V,каузация,Control,кланяться
заставляли,V,каузация,Control,поклониться
оставалось,Vimpers,,Control,поклониться
низко,ADV,интенсивность,Circum,поклониться
начал,V,фазовый,Control,кланяться
начал,V,фазовый,Control,поклониться
неловко,ADV,оценка,Circum,кланяться
неловко,ADV,оценка,Circum,поклониться
честь имею,S,,Control,кланяться
честь имею,S,,Control,поклониться
так,CONJ,мотивировка,Modal,кланяться
так,CONJ,мотивировка,Modal,поклониться
земно,ADV,образ действия,Circum,кланяться
земно,ADV,образ действия,Circum,поклониться
низменно,ADV,интенсивность,Circum,кланяться
низменно,ADV,интенсивность,Circum,поклониться
по приказанию своего вожатого,по + Sdat,причина,Circum,кланяться
по приказанию своего вожатого,по + Sdat,причина,Circum,поклониться
очень любезно,ADV,образ действия,Circum,кланяться
очень любезно,ADV,образ действия,Circum,поклониться
с каждым словом,с + Sins,частота,Circum,кланяться
с каждым словом,с + Sins,частота,Circum,поклониться
ещё,ADV,усиление,Modal,кликать
грустно,ADV,эмоция,Circum,кликать
грустно,ADV,эмоция,Circum,кликнуть
не,PART,отрицание,Modal,кликать
не,PART,отрицание,Modal,кликнуть
в долгие ночи,в + Sacc,время,Circum,кликать
в долгие ночи,в + Sacc,время,Circum,кликнуть
громко,ADV,звук,Circum,кликать
громко,ADV,звук,Circum,кликнуть
срочно,ADV,одновременность,Circum,кликать
срочно,ADV,одновременность,Circum,кликнуть
словно курица,словно + Snom,сравнение,Circum,клохтать
лохмато,ADV,форма,Circum,колебаться
не,PART,отрицание,Modal,колебаться
долго,ADV,длительность,Circum,колебаться
над закатом,над + Sins,место,Circum,колебаться
сначала,ADV,фаза,Circum,колебаться
больше,ADV,интенсивность,Circum,колебаться
начнём,Vfut,фазовый,Control,колебаться
на уровне 12 процентов,на + Sloc ,место,Circum,колебаться
в среднем,в + Sloc,точность,Circum,колебаться
безмолвно,ADV,звук,Circum,колебаться
здесь,ADV,место,Circum,колебаться
трудно,PRAEDIC,трудность,Control,контролировать
трудно,PRAEDIC,трудность,Control,проконтролировать
в ссср,в + Sloc,место,Circum,контролировать
в ссср,в + Sloc,место,Circum,проконтролировать
никак,ADV,степень,Circum,контролировать
никак,ADV,степень,Circum,проконтролировать
все же,ADV,уступка,Circum,контролировать
все же,ADV,уступка,Circum,проконтролировать
хорошо,ADV,степень,Circum,контролировать
хорошо,ADV,степень,Circum,проконтролировать
несколько раз в день,Sacc,узуальность,Circum,контролировать
несколько раз в день,Sacc,узуальность,Circum,проконтролировать
помимо самих антимонопольщиков,помимо + Sgen,комитатив,Circum,контролировать
помимо самих антимонопольщиков,помимо + Sgen,комитатив,Circum,проконтролировать
к лету 2000 года,к + Sdat,момент времени - конечная точка,Circum,контролировать
к лету 2000 года,к + Sdat,момент времени - конечная точка,Circum,проконтролировать
квалифицированно,ADV,оценка,Circum,контролировать
квалифицированно,ADV,оценка,Circum,проконтролировать
обеими руками,Sins,интенсивность,Circum,контролировать
обеими руками,Sins,интенсивность,Circum,проконтролировать
полностью,ADV,степень,Circum,контролировать
полностью,ADV,степень,Circum,проконтролировать
плохо,ADV,оценка,Circum,контролировать
плохо,ADV,оценка,Circum,проконтролировать
полностью,Sins,охват,Circum,контролировать
полностью,Sins,охват,Circum,проконтролировать
нет возможности,S,возможность,Control,контролировать
нет возможности,S,возможность,Control,проконтролировать
как-то,ADV,время,Circum,контролировать
как-то,ADV,время,Circum,проконтролировать
жестко,ADV,степень,Circum,контролировать
жестко,ADV,степень,Circum,проконтролировать
тщательно,ADV,степень,Circum,контролировать
тщательно,ADV,степень,Circum,проконтролировать
со своей менеджерской позиции,с + Sgen,начальная точка метаф.,Circum,контролировать
со своей менеджерской позиции,с + Sgen,начальная точка метаф.,Circum,проконтролировать
в полном объеме,в + Sloc,охват,Circum,контролировать
в полном объеме,в + Sloc,охват,Circum,проконтролировать
лично,ADV,самостоятельность,Circum,контролировать
лично,ADV,самостоятельность,Circum,проконтролировать
сложнее,PRAEDIC,трудность,Control,контролировать
сложнее,PRAEDIC,трудность,Control,проконтролировать
легко,PRAEDIC,трудность,Control,контролировать
легко,PRAEDIC,трудность,Control,проконтролировать
смогу,Vfut,возможность,Control,контролировать
смогу,Vfut,возможность,Control,проконтролировать
достаточно сложно,PRAEDIC,трудность,Control,контролировать
достаточно сложно,PRAEDIC,трудность,Control,проконтролировать
только,PART,ограничит.,Circum,контролировать
только,PART,ограничит.,Circum,проконтролировать
можно,PRAEDIC,возможность,Control,контролировать
можно,PRAEDIC,возможность,Control,проконтролировать
также,ADV,тождество,Circum,контролировать
также,ADV,тождество,Circum,проконтролировать
едва ли возможно,PRAEDIC,возможность,Control,контролировать
едва ли возможно,PRAEDIC,возможность,Control,проконтролировать
невозможно,PRAEDIC,возможность,Control,контролировать
невозможно,PRAEDIC,возможность,Control,проконтролировать
грозя,Vger,сопутствующая ситуация,Circum,контролировать
грозя,Vger,сопутствующая ситуация,Circum,проконтролировать
не можете,Vpraes,возможность,Control,контролировать
не можете,Vpraes,возможность,Control,проконтролировать
просто,PART,точность,Modal,контролировать
просто,PART,точность,Modal,проконтролировать
нельзя,PRAEDIC,запрет,Control,контролировать
нельзя,PRAEDIC,запрет,Control,проконтролировать
тем более,ADV,степень,Circum,контролировать
тем более,ADV,степень,Circum,проконтролировать
должен был,Abrev,необходимость,Control,контролировать
должен был,Abrev,необходимость,Control,проконтролировать
разумеется,PARENTH,дискурс,Modal,контролировать
разумеется,PARENTH,дискурс,Modal,проконтролировать
хоть раз,Sacc,узуальность,Circum,контролировать
хоть раз,Sacc,узуальность,Circum,проконтролировать
должны,Abrev,необходимость,Control,контролировать
должны,Abrev,необходимость,Control,проконтролировать
надо,PRAEDIC,необходимость,Control,контролировать
надо,PRAEDIC,необходимость,Control,проконтролировать
даже,ADV,интенсификатор,Modal,корточки
даже,ADV,интенсификатор,Modal,присаживаться
даже,ADV,интенсификатор,Modal,присесть
прямо-таки,PART,точность,Modal,косточка
прямо-таки,PART,точность,Modal,разбирать
прямо-таки,PART,точность,Modal,разобрать
не,PART,отрицание,Modal,красть
в ухо,в + Sacc,способ,Circum,крикнуть
в ухо,в + Sacc,способ,Circum,кричать
в ухо,в + Sacc,способ,Circum,прокричать
раздраженно,ADV,эмоция,Circum,крикнуть
раздраженно,ADV,эмоция,Circum,кричать
в ухо,в + Sacc,образ действия,Circum,крикнуть
в ухо,в + Sacc,образ действия,Circum,кричать
в ухо,в + Sacc,образ действия,Circum,прокричать
в ответ,в + Sacc,стимул,Circum,крикнуть
в ответ,в + Sacc,стимул,Circum,кричать
в ответ,в + Sacc,стимул,Circum,прокричать
церемонно,ADV,образ действия,Circum,кружить
тяжело,ADV,образ действия,Circum,кружить
над песочницей,над + Sins,место,Circum,кружить
как,ADV,степень,Circum,кружить
на согнутых ногах,на + Sloc ,образ действия,Circum,кружить
пришлось,Vimpers,необходимость,Control,кружить
поодаль,ADV,место,Circum,кружить
уже,ADV,,Modal,кружить
стаями,Sins,интенсивность,Circum,кружить
стали,V,фазовый,Control,кружить
по-прежнему,ADV,узуальность,Circum,кружить
с монотонным шёпотом,с + Sins,образ действия,Circum,кружить
научились,V,,Control,кружить
принялась,V,фазовый,Control,кружить
"то выше, то ниже",ADV,место,Circum,кружить
большими шагами,Sins,образ действия,Circum,кружить
за ним,за + Sins,преследуемое,Circum,кружить
во сне,в + Sloc,место,Circum,кружить
зачем,ADV,причина,Circum,кружить
двое суток,Sacc,длительность,Circum,кружить
весело,ADV,образ действия,Circum,кружить
будто,PART,точность,Modal,кружить
просто,PART,,Modal,кружить
слегка,ADV,степень,Circum,кружить
начал,V,фазовый,Control,кружить
словно,PART,точность,Modal,кружить
тут,ADVPRO,дискурс,Circum,кружить
на протяжении всего матча,на + Sloc ,длительность,Circum,кружить
как,ADV,способ,Circum,кружить
не,PART,отрицание,Modal,крутиться
"и не просто сейчас , а прямо сейчас",ADV,момент времени,Circum,крутиться
непрестанно,ADV,узуальность,Circum,крутиться
бешено,ADV,скорость,Circum,крутиться
с музыкой,с + Sins,фоновая ситуация,Circum,крутиться
целый день,Sacc,узуальность,Circum,крутиться
зачем,ADV,причина,Circum,крутиться
уже неделю,Sacc,длительность,Circum,крутиться
сколь ни,CONJ,уступка,Modal,крутиться
во множестве,в + Sloc,охват,Circum,крутиться
под тобой,под + Sins,место,Circum,крутиться
"до тех пор, пока уставилась в него носом в упор",до + Sgen,конечная точка - предел,Circum,крутиться
начинаю,Vpraes,фазовый,Control,крутиться
чего,ADV,причина,Circum,крутиться
что,ADV,причина,Circum,крутиться
в иных домах,в + Sloc,место,Circum,крутиться
как,ADV,степень,Circum,крутиться
от века,от + Sgen,длительность,Circum,крутиться
постоянно,ADV,узуальность,Circum,крутиться
только,PART,ограничит.,Circum,крутиться
нечего уже,PRAEDIC,интерпретация,Modal,крутиться
будут,V,буд.,Modal,крутиться
должно,Abrev,необходимость,Modal,крутиться
по три-четыре раза в месяц,по + Sdat,узуальность,Circum,крутиться
знаешь,V,ментальный,Modal,крутиться
вот,PART,дейксис,Modal,крутиться
всё,PART,длительность,Modal,крутиться
стал,V,фаза,Modal,крутиться
казалось,PARENTH,эвиденциальность,Modal,крутиться
стал,V,фазовый,Control,крутиться
начнут,Vfut,фазовый,Control,крутиться
да нет,PART,противопоставление,Modal,крутиться
начала,V,фазовый,Modal,кудахтать
оглушительно,ADV,степень,Circum,кудахтать
обречённо,ADV,эмоция,Circum,кудахтать
продолжала,V,попытка,Modal,кудахтать
было,V,прош.,Gram,купить
было,V,прош.,Gram,покупать
на всякий случай,на + Sacc,цель,Circum,купить
на всякий случай,на + Sacc,цель,Circum,покупать
иначе,ADV,противопоставление,Circum,купить
иначе,ADV,противопоставление,Circum,покупать
уж,ADV,,Modal,купить
уж,ADV,,Modal,покупать
ради такого футляра,ради + Sgen,цель,Circum,купить
ради такого футляра,ради + Sgen,цель,Circum,покупать
нечаянно,ADV,цель,Circum,купить
нечаянно,ADV,цель,Circum,покупать
тут же,ADVPRO,одновременность,Circum,купить
тут же,ADVPRO,одновременность,Circum,покупать
надо,PRAEDIC,необходимость,Control,купить
надо,PRAEDIC,необходимость,Control,покупать
мог,V,возможность,Control,купить
мог,V,возможность,Control,покупать
уже,ADV,усиление,Modal,купить
уже,ADV,усиление,Modal,покупать
для кухни,для + Sgen,цель,Circum,купить
для кухни,для + Sgen,цель,Circum,покупать
на следующее утро,на + Sacc,время,Circum,купить
на следующее утро,на + Sacc,время,Circum,покупать
не,PART,отрицание,Modal,купить
не,PART,отрицание,Modal,покупать
как велено,как + Vpartcp.pass.brev,основание,Circum,купить
как велено,как + Vpartcp.pass.brev,основание,Circum,покупать
с этой целью,с + Sins,цель,Circum,купить
с этой целью,с + Sins,цель,Circum,покупать
наконец,PARENTH,дискурс,Circum,купить
наконец,PARENTH,дискурс,Circum,покупать
тем самым летом,Sins,время,Circum,купить
тем самым летом,Sins,время,Circum,покупать
там,ADV,место,Circum,купить
там,ADV,место,Circum,покупать
бы,PART,сослаг.,Gram,купить
бы,PART,сослаг.,Gram,покупать
частным образом,Sins,образ действия,Circum,купить
частным образом,Sins,образ действия,Circum,покупать
почти сорок лет назад,Sacc + назад,время,Circum,купить
почти сорок лет назад,Sacc + назад,время,Circum,покупать
сегодня,ADV,время,Circum,купить
сегодня,ADV,время,Circum,покупать
для своей брички,для + Sgen,цель,Circum,купить
для своей брички,для + Sgen,цель,Circum,покупать
на веру,на + Sacc,образ действия,Circum,купить
на веру,на + Sacc,образ действия,Circum,покупать
можно,PRAEDIC,возможность,Control,купить
можно,PRAEDIC,возможность,Control,покупать
лет десять тому назад,Sacc + назад,время,Circum,купить
лет десять тому назад,Sacc + назад,время,Circum,покупать
в феврале,в + Sloc,время,Circum,купить
в феврале,в + Sloc,время,Circum,покупать
где,ADV,место,Circum,купить
где,ADV,место,Circum,покупать
однажды,ADV,узуальность,Circum,купить
однажды,ADV,узуальность,Circum,покупать
в то время,в + Sacc,время,Circum,купить
в то время,в + Sacc,время,Circum,покупать
"в"" комсомольце """,в + Sloc,место,Circum,купить
"в"" комсомольце """,в + Sloc,место,Circum,покупать
тогда,ADV,время,Circum,купить
тогда,ADV,время,Circum,покупать
больше всего,ADV,степень,Circum,купить
больше всего,ADV,степень,Circum,покупать
так,ADV,образ действия,Circum,купить
так,ADV,образ действия,Circum,покупать
на прошлой неделе,на + Sloc ,время,Circum,купить
на прошлой неделе,на + Sloc ,время,Circum,покупать
в китайских ресторанчиках ?,в + Sloc,место,Circum,кушать
в китайских ресторанчиках ?,в + Sloc,место,Circum,покушать
не,PART,отрицание,Modal,лгать
зачем же,ADV,причина,Circum,лгать
нехорошо,PRAEDIC,оценка,Control,лгать
вдохновенно,ADV,образ действия,Circum,лгать
очевидно,PARENTH,точность,Modal,лгать
в неё,в + Sacc,способ,Circum,лгать
с тем же упорством,с + Sins,образ действия,Circum,лгать
тяжело,PRAEDIC,трудность,Control,лгать
именно здесь,ADV,место,Circum,лгать
именно здесь,ADV,место,Circum,солгать
вперёд,ADV,время,Circum,лгать
вперёд,ADV,время,Circum,солгать
не,PART,отрицание,Modal,солгать
неумело,ADV,оценка,Circum,лгать
неумело,ADV,оценка,Circum,солгать
тогда,ADV,время,Circum,лгать
тогда,ADV,время,Circum,солгать
постоянно,ADV,узуальность,Circum,лгать
постоянно,ADV,узуальность,Circum,солгать
при первом свидании с кем бы то ни было,при + Sloc,одновременность,Circum,лгать
при первом свидании с кем бы то ни было,при + Sloc,одновременность,Circum,солгать
сознательно,ADV,мотивировка,Circum,лгать
сознательно,ADV,мотивировка,Circum,солгать
заведомо,ADV,точность,Circum,лгать
заведомо,ADV,точность,Circum,солгать
в другое время,в + Sacc,время,Circum,лгать
в другое время,в + Sacc,время,Circum,солгать
в школе,в + Sloc,место,Circum,лгать
в школе,в + Sloc,место,Circum,солгать
в первый раз,в + Sacc,узуальность,Circum,лгать
в первый раз,в + Sacc,узуальность,Circum,солгать
ни для чего,для + Sgen,цель,Circum,лгать
ни для чего,для + Sgen,цель,Circum,солгать
что же,ADV,причина,Circum,лгать
что же,ADV,причина,Circum,солгать
сколько раз,Sacc,узуальность,Circum,лгать
сколько раз,Sacc,узуальность,Circum,солгать
зачем,ADV,причина,Circum,лгать
зачем,ADV,причина,Circum,солгать
изощренно,ADV,оценка,Circum,лгать
изощренно,ADV,оценка,Circum,солгать
напропалую,ADV,интенсивность,Circum,лгать
напропалую,ADV,интенсивность,Circum,солгать
конечно,PARENTH,дискурс,Modal,лгать
конечно,PARENTH,дискурс,Modal,солгать
под его пером,под + Sins,инструмент,Circum,лгать
под его пером,под + Sins,инструмент,Circum,солгать
как всегда,ADV,узуальность,Circum,лгать
как всегда,ADV,узуальность,Circum,солгать
ретивей,ADV,степень,Circum,лгать
ретивей,ADV,степень,Circum,солгать
дома,ADV,место,Circum,лгать
дома,ADV,место,Circum,солгать
для чего,для + Sgen,цель,Circum,лгать
для чего,для + Sgen,цель,Circum,солгать
будешь,Vfut,буд.,Gram,лгать
будешь,Vfut,буд.,Gram,солгать
можно,PRAEDIC,возможность,Control,лгать
можно,PRAEDIC,возможность,Control,солгать
с наслаждением,с + Sins,образ действия,Circum,лгать
с наслаждением,с + Sins,образ действия,Circum,солгать
зачем же,ADV,причина,Circum,солгать
с которым,с + Sins,образ действия,Circum,лгать
с которым,с + Sins,образ действия,Circum,солгать
значит,PARENTH,дискурс,Modal,лгать
значит,PARENTH,дискурс,Modal,солгать
не умеет,V,способность,Control,лгать
не умеет,V,способность,Control,солгать
правдоподобно,ADV,оценка,Circum,лгать
правдоподобно,ADV,оценка,Circum,солгать
в её присутствии,в + Sloc,фоновая ситуация,Circum,лгать
в её присутствии,в + Sloc,фоновая ситуация,Circum,солгать
умеет,Vpraes,способность,Control,лгать
умеет,Vpraes,способность,Control,солгать
очень хорошо,PRAEDIC,,Control,лгать
очень хорошо,PRAEDIC,,Control,солгать
перед его сиятельством,перед + Sins,адресат,Circum,лгать
перед его сиятельством,перед + Sins,адресат,Circum,солгать
до сих пор,до + Sgen,длительность - предел,Circum,лгать
до сих пор,до + Sgen,длительность - предел,Circum,солгать
больше,ADV,узуальность,Circum,лгать
больше,ADV,узуальность,Circum,солгать
по телефону,по + Sdat,инструмент,Circum,лгать
по телефону,по + Sdat,инструмент,Circum,солгать
бы,PART,сослаг.,Gram,лгать
бы,PART,сослаг.,Gram,солгать
трудно,PRAEDIC,трудность,Control,лгать
трудно,PRAEDIC,трудность,Control,солгать
всю жизнь,Sacc,длительность,Circum,лгать
всю жизнь,Sacc,длительность,Circum,солгать
без нас,без + Sgen,комитатив,Circum,лгать
без нас,без + Sgen,комитатив,Circum,солгать
почто,ADV,причина,Circum,лгать
почто,ADV,причина,Circum,солгать
над землёй,над + Sins,место,Circum,летать
выучили,V,ментальный,Control,летать
под носом,под + Sins,место,Circum,летать
недолго,ADV,длительность,Circum,летать
словно по бархату зелёному и пунцовому золотом и серебром выложенные,словно + по + Sdat,сравнение,Circum,летать
вместе,ADV,комитатив,Circum,летать
не могла,V,возможность,Control,летать
всегда,ADV,узуальность,Circum,летать
хорошо,ADV,оценка,Circum,летать
не может,Vpraes,возможность,Control,летать
может быть,PARENTH,предположение,Modal,летать
с середины апреля до конца мая,с + Sgen,время,Circum,летать
бесстрашно,ADV,образ действия,Circum,летать
не умея,Vger,способность,Control,летать
не,PART,отрицание,Modal,летать
хрипло крича,Vger,сопутствующая ситуация,Circum,летать
медленно,ADV,скорость,Circum,летать
повсюду,ADV,охват,Circum,летать
потом,ADV,время,Circum,летать
"помимо тараканов , по-хозяйски ползавших , где им вздумается",помимо + Sgen,комитатив,Circum,летать
всечасно,ADV,узуальность,Circum,летать
боком,Sins,ориентация,Circum,летать
прошедшую ночь,Sacc,время,Circum,летать
будто,PART,уподобление,Circum,летать
как,ADV,способ,Circum,летать
вдоль железной дороги,вдоль + Sgen,траектория,Circum,летать
пока,ADV,,Circum,летать
"выше всех, дальше всех, быстрее всех",ADV,образ действия,Circum,летать
"с любым, самым экзотическим удостоверением личности",с + Sins,комитатив,Circum,летать
в париже,в + Sloc,место,Circum,летать
"как стрела , оперённая лебединым крылом",как + Snom,сравнение,Circum,летать
так,ADV,способ,Circum,летать
по разным поручениям,по + Sdat,цель,Circum,летать
"неслышная, с шорохом ночной бабочки",Anom,депиктив,Circum,летать
перед самым лицом прабабушки,перед + Sins,место,Circum,летать
в восторге,в + Sloc,эмоция,Circum,летать
в 1979 году,в + Sloc,время,Circum,летать
после спасённого им в одиночку матча ( 3: 3),после + Sgen,предшествующая ситуация,Circum,летать
на минимальных и максимальных скоростях,на + Sloc ,скорость,Circum,летать
парами,Sins,способ,Circum,летать
нон-стопом,Sins,способ,Circum,летать
умея,Vger,способность,Control,летать
сейчас,ADV,время,Circum,летать
"с ощипанными, обнажёнными телами",с + Sins,комитатив,Circum,летать
вероятно,PARENTH,точность,Modal,летать
должен был бы,Abrev,необходимость,Control,летать
в конце года,в + Sloc,время,Circum,летать
четырежды,ADV,кратность,Circum,летать
позже,ADV,время,Circum,летать
никогда,ADVPRO,время,Circum,летать
стал,V,фаза,Control,летать
сколько,ADV,узуальность,Circum,летать
часто,ADV,частота,Circum,летать
с крыльями и без,с + Sins,способ,Circum,летать
так запросто,ADV,трудность,Circum,летать
волнами,Sins,образ действия,Circum,лететь
что,ADV,причина,Circum,лететь
мимо густых зарослей жимолости,мимо + Sgen,место,Circum,лететь
долго,ADV,длительность,Circum,лететь
вперёд,ADV,конечная точка,Circum,лететь
внезапно,ADV,неожиданность,Circum,лететь
с референтом от наркомата,с + Sins,комитатив,Circum,лететь
строго сидя на камне с каменной мордой и выпученными глазами,Vger,сопутствующая ситуация,Circum,лететь
между тем,PARENTH,противопоставление,Modal,лететь
без солнца,без + Sgen,способ,Circum,лететь
чуть наклонив крыло,Vger,предшествующая ситуация,Circum,лететь
быстро,ADV,скорость,Circum,лететь
одна за другой,Snom + за + Sins,порядок,Circum,лететь
слепым полётом,Sins,способ,Circum,лететь
с неудержимой стремительностью,с + Sins,скорость,Circum,лететь
как копьё,как + Sx,сравнение,Circum,лететь
весело и бешено,ADV,оценка,Circum,лететь
отсюда,ADV,начальная точка,Circum,лететь
сейчас же,ADV,одновременность,Circum,лететь
словно и впрямь заколдованный,A,сравнение,Circum,лететь
по двору,по + Sdat,место,Circum,лететь
очень быстро,ADV,скорость,Circum,лететь
как мотылёк на блестящий огонь,как + Sx,сравнение,Circum,лететь
уже,ADV,,Modal,лететь
с головокружительной быстротою,с + Sins,скорость,Circum,лететь
курлыкая в небе,Vger,образ действия,Circum,лететь
с какой-то скоростью,с + Sins,скорость,Circum,лететь
завтра утром,ADV,время,Circum,лететь
безмолвно,ADV,звук,Circum,лететь
иногда,ADV,узуальность,Circum,лететь
у меня,у + Sgen,посессор,Circum,лететь
о всю ширину,о + Sacc,охват,Circum,лететь
далее,ADV,дискурс,Circum,лететь
весь день,Sacc,длительность,Circum,лить
как воду,как + Sx,сравнение,Circum,лить
горько,ADV,мотивировка,Circum,лить
до края,до + Sgen,предел,Circum,лить
раньше- то,ADV,время,Circum,лить
по воздуху,по + Sdat,траектория,Circum,лить
только,PART,ограничит.,Modal,лить
за это,за + Sacc,причина,Circum,лить
